rounds,total_actions,regret,other,bandit,learner
81,3520,0.0,0.0,multi_armed_bandit,BatchRacing
56,2620,0.0,0.0,multi_armed_bandit,BatchRacing
101,4620,0.0,0.0,multi_armed_bandit,BatchRacing
119,5620,0.0,0.0,multi_armed_bandit,BatchRacing
165,6980,0.0,0.0,multi_armed_bandit,BatchRacing
6,600,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
9,900,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
29,2900,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
500,50000,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
500,50000,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
867,870,0.0,0.0,multi_armed_bandit,Heuristic lilUCB
1186,1189,0.0,0.0,multi_armed_bandit,Heuristic lilUCB
1146,1149,0.0,0.0,multi_armed_bandit,Heuristic lilUCB
1227,1230,0.0,0.0,multi_armed_bandit,Heuristic lilUCB
1744,1747,0.0,0.0,multi_armed_bandit,Heuristic lilUCB
