rounds,total_actions,regret,other,bandit,learner
57,1808,0.0,0.0,multi_armed_bandit,BatchRacing
45,1424,0.0,0.0,multi_armed_bandit,BatchRacing
67,2128,0.0,0.0,multi_armed_bandit,BatchRacing
41,1296,0.0,0.0,multi_armed_bandit,BatchRacing
33,1040,0.0,0.0,multi_armed_bandit,BatchRacing
47,1488,0.0,0.0,multi_armed_bandit,BatchRacing
39,1232,0.0,0.0,multi_armed_bandit,BatchRacing
55,1744,0.0,0.0,multi_armed_bandit,BatchRacing
46,1456,0.0,0.0,multi_armed_bandit,BatchRacing
51,1616,0.0,0.0,multi_armed_bandit,BatchRacing
54,1712,0.0,0.0,multi_armed_bandit,BatchRacing
69,2192,0.0,0.0,multi_armed_bandit,BatchRacing
53,1680,0.0,0.0,multi_armed_bandit,BatchRacing
64,2032,0.0,0.0,multi_armed_bandit,BatchRacing
29,912,0.0,0.0,multi_armed_bandit,BatchRacing
58,1840,0.0,0.0,multi_armed_bandit,BatchRacing
59,1872,0.0,0.0,multi_armed_bandit,BatchRacing
38,1200,0.0,0.0,multi_armed_bandit,BatchRacing
73,2320,0.0,0.0,multi_armed_bandit,BatchRacing
72,2288,0.0,0.0,multi_armed_bandit,BatchRacing
63,2000,0.0,0.0,multi_armed_bandit,BatchRacing
46,1456,0.0,0.0,multi_armed_bandit,BatchRacing
52,1648,0.0,0.0,multi_armed_bandit,BatchRacing
62,1968,0.0,0.0,multi_armed_bandit,BatchRacing
44,1392,0.0,0.0,multi_armed_bandit,BatchRacing
61,1936,0.0,0.0,multi_armed_bandit,BatchRacing
44,1392,0.0,0.0,multi_armed_bandit,BatchRacing
37,1168,0.0,0.0,multi_armed_bandit,BatchRacing
45,1424,0.0,0.0,multi_armed_bandit,BatchRacing
61,1936,0.0,0.0,multi_armed_bandit,BatchRacing
87,2768,0.0,0.0,multi_armed_bandit,BatchRacing
65,2064,0.0,0.0,multi_armed_bandit,BatchRacing
41,1296,0.0,0.0,multi_armed_bandit,BatchRacing
55,1744,0.0,0.0,multi_armed_bandit,BatchRacing
66,2096,0.0,0.0,multi_armed_bandit,BatchRacing
73,2320,0.0,0.0,multi_armed_bandit,BatchRacing
46,1456,0.0,0.0,multi_armed_bandit,BatchRacing
47,1488,0.0,0.0,multi_armed_bandit,BatchRacing
60,1904,0.0,0.0,multi_armed_bandit,BatchRacing
67,2128,0.0,0.0,multi_armed_bandit,BatchRacing
81,2576,0.0,0.0,multi_armed_bandit,BatchRacing
69,2192,0.0,0.0,multi_armed_bandit,BatchRacing
79,2512,0.0,0.0,multi_armed_bandit,BatchRacing
75,2384,0.0,0.0,multi_armed_bandit,BatchRacing
52,1648,0.0,0.0,multi_armed_bandit,BatchRacing
83,2640,0.0,0.0,multi_armed_bandit,BatchRacing
98,3120,0.0,0.0,multi_armed_bandit,BatchRacing
63,2000,0.0,0.0,multi_armed_bandit,BatchRacing
67,2128,0.0,0.0,multi_armed_bandit,BatchRacing
44,1392,0.0,0.0,multi_armed_bandit,BatchRacing
57,1808,0.0,0.0,multi_armed_bandit,BatchRacing
67,2128,0.0,0.0,multi_armed_bandit,BatchRacing
85,2704,0.0,0.0,multi_armed_bandit,BatchRacing
26,816,0.0,0.0,multi_armed_bandit,BatchRacing
67,2128,0.0,0.0,multi_armed_bandit,BatchRacing
61,1936,0.0,0.0,multi_armed_bandit,BatchRacing
90,2864,0.0,0.0,multi_armed_bandit,BatchRacing
48,1520,0.0,0.0,multi_armed_bandit,BatchRacing
88,2800,0.0,0.0,multi_armed_bandit,BatchRacing
82,2608,0.0,0.0,multi_armed_bandit,BatchRacing
28,880,0.0,0.0,multi_armed_bandit,BatchRacing
92,2928,0.0,0.0,multi_armed_bandit,BatchRacing
71,2256,0.0,0.0,multi_armed_bandit,BatchRacing
87,2768,0.0,0.0,multi_armed_bandit,BatchRacing
61,1936,0.0,0.0,multi_armed_bandit,BatchRacing
94,2992,0.0,0.0,multi_armed_bandit,BatchRacing
48,1520,0.0,0.0,multi_armed_bandit,BatchRacing
52,1648,0.0,0.0,multi_armed_bandit,BatchRacing
74,2352,0.0,0.0,multi_armed_bandit,BatchRacing
64,2032,0.0,0.0,multi_armed_bandit,BatchRacing
94,2992,0.0,0.0,multi_armed_bandit,BatchRacing
63,2000,0.0,0.0,multi_armed_bandit,BatchRacing
93,2960,0.0,0.0,multi_armed_bandit,BatchRacing
51,1616,0.0,0.0,multi_armed_bandit,BatchRacing
69,2192,0.0,0.0,multi_armed_bandit,BatchRacing
88,2800,0.0,0.0,multi_armed_bandit,BatchRacing
58,1840,0.0,0.0,multi_armed_bandit,BatchRacing
96,3056,0.0,0.0,multi_armed_bandit,BatchRacing
69,2192,0.0,0.0,multi_armed_bandit,BatchRacing
94,2992,0.0,0.0,multi_armed_bandit,BatchRacing
64,2032,0.0,0.0,multi_armed_bandit,BatchRacing
82,2608,0.0,0.0,multi_armed_bandit,BatchRacing
73,2320,0.0,0.0,multi_armed_bandit,BatchRacing
72,2288,0.0,0.0,multi_armed_bandit,BatchRacing
70,2224,0.0,0.0,multi_armed_bandit,BatchRacing
53,1680,0.0,0.0,multi_armed_bandit,BatchRacing
85,2704,0.0,0.0,multi_armed_bandit,BatchRacing
82,2608,0.0,0.0,multi_armed_bandit,BatchRacing
63,2000,0.0,0.0,multi_armed_bandit,BatchRacing
