rounds,total_actions,regret,other,bandit,learner
205,1636,0.0,0.0,multi_armed_bandit,BatchRacing
114,908,0.0,0.0,multi_armed_bandit,BatchRacing
429,3428,0.0,0.0,multi_armed_bandit,BatchRacing
217,1732,0.0,0.0,multi_armed_bandit,BatchRacing
146,1164,0.0,0.0,multi_armed_bandit,BatchRacing
153,1220,0.0,0.0,multi_armed_bandit,BatchRacing
167,1332,0.0,0.0,multi_armed_bandit,BatchRacing
132,1052,0.0,0.0,multi_armed_bandit,BatchRacing
157,1252,0.0,0.0,multi_armed_bandit,BatchRacing
149,1188,0.0,0.0,multi_armed_bandit,BatchRacing
396,3164,0.0,0.0,multi_armed_bandit,BatchRacing
242,1932,0.0,0.0,multi_armed_bandit,BatchRacing
94,748,0.0,0.0,multi_armed_bandit,BatchRacing
208,1660,0.0,0.0,multi_armed_bandit,BatchRacing
285,2276,0.0,0.0,multi_armed_bandit,BatchRacing
172,1372,0.0,0.0,multi_armed_bandit,BatchRacing
213,1700,0.0,0.0,multi_armed_bandit,BatchRacing
316,2524,0.0,0.0,multi_armed_bandit,BatchRacing
296,2364,0.0,0.0,multi_armed_bandit,BatchRacing
180,1436,0.0,0.0,multi_armed_bandit,BatchRacing
272,2172,0.0,0.0,multi_armed_bandit,BatchRacing
118,940,0.0,0.0,multi_armed_bandit,BatchRacing
234,1868,0.0,0.0,multi_armed_bandit,BatchRacing
182,1452,0.0,0.0,multi_armed_bandit,BatchRacing
273,2180,0.0,0.0,multi_armed_bandit,BatchRacing
238,1900,0.0,0.0,multi_armed_bandit,BatchRacing
262,2092,0.0,0.0,multi_armed_bandit,BatchRacing
225,1796,0.0,0.0,multi_armed_bandit,BatchRacing
253,2020,0.0,0.0,multi_armed_bandit,BatchRacing
230,1836,0.0,0.0,multi_armed_bandit,BatchRacing
262,2092,0.0,0.0,multi_armed_bandit,BatchRacing
320,2556,0.0,0.0,multi_armed_bandit,BatchRacing
265,2116,0.0,0.0,multi_armed_bandit,BatchRacing
234,1868,0.0,0.0,multi_armed_bandit,BatchRacing
269,2148,0.0,0.0,multi_armed_bandit,BatchRacing
241,1924,0.0,0.0,multi_armed_bandit,BatchRacing
203,1620,0.0,0.0,multi_armed_bandit,BatchRacing
162,1292,0.0,0.0,multi_armed_bandit,BatchRacing
202,1612,0.0,0.0,multi_armed_bandit,BatchRacing
222,1772,0.0,0.0,multi_armed_bandit,BatchRacing
209,1668,0.0,0.0,multi_armed_bandit,BatchRacing
126,1004,0.0,0.0,multi_armed_bandit,BatchRacing
241,1924,0.0,0.0,multi_armed_bandit,BatchRacing
164,1308,0.0,0.0,multi_armed_bandit,BatchRacing
216,1724,0.0,0.0,multi_armed_bandit,BatchRacing
194,1548,0.0,0.0,multi_armed_bandit,BatchRacing
264,2108,0.0,0.0,multi_armed_bandit,BatchRacing
221,1764,0.0,0.0,multi_armed_bandit,BatchRacing
249,1988,0.0,0.0,multi_armed_bandit,BatchRacing
243,1940,0.0,0.0,multi_armed_bandit,BatchRacing
385,3076,0.0,0.0,multi_armed_bandit,BatchRacing
150,1196,0.0,0.0,multi_armed_bandit,BatchRacing
294,2348,0.0,0.0,multi_armed_bandit,BatchRacing
284,2268,0.0,0.0,multi_armed_bandit,BatchRacing
301,2404,0.0,0.0,multi_armed_bandit,BatchRacing
344,2748,0.0,0.0,multi_armed_bandit,BatchRacing
320,2556,0.0,0.0,multi_armed_bandit,BatchRacing
296,2364,0.0,0.0,multi_armed_bandit,BatchRacing
301,2404,0.0,0.0,multi_armed_bandit,BatchRacing
318,2540,0.0,0.0,multi_armed_bandit,BatchRacing
285,2276,0.0,0.0,multi_armed_bandit,BatchRacing
274,2188,0.0,0.0,multi_armed_bandit,BatchRacing
295,2356,0.0,0.0,multi_armed_bandit,BatchRacing
241,1924,0.0,0.0,multi_armed_bandit,BatchRacing
325,2596,0.0,0.0,multi_armed_bandit,BatchRacing
315,2516,0.0,0.0,multi_armed_bandit,BatchRacing
330,2636,0.0,0.0,multi_armed_bandit,BatchRacing
244,1948,0.0,0.0,multi_armed_bandit,BatchRacing
261,2084,0.0,0.0,multi_armed_bandit,BatchRacing
