rounds,total_actions,regret,other,bandit,learner
95,1890,0.0,0.0,multi_armed_bandit,BatchRacing
65,1290,0.0,0.0,multi_armed_bandit,BatchRacing
78,1550,0.0,0.0,multi_armed_bandit,BatchRacing
90,1790,0.0,0.0,multi_armed_bandit,BatchRacing
92,1830,0.0,0.0,multi_armed_bandit,BatchRacing
98,1950,0.0,0.0,multi_armed_bandit,BatchRacing
98,1950,0.0,0.0,multi_armed_bandit,BatchRacing
109,2170,0.0,0.0,multi_armed_bandit,BatchRacing
107,2130,0.0,0.0,multi_armed_bandit,BatchRacing
75,1490,0.0,0.0,multi_armed_bandit,BatchRacing
134,2670,0.0,0.0,multi_armed_bandit,BatchRacing
143,2850,0.0,0.0,multi_armed_bandit,BatchRacing
146,2910,0.0,0.0,multi_armed_bandit,BatchRacing
103,2050,0.0,0.0,multi_armed_bandit,BatchRacing
91,1810,0.0,0.0,multi_armed_bandit,BatchRacing
101,2010,0.0,0.0,multi_armed_bandit,BatchRacing
104,2070,0.0,0.0,multi_armed_bandit,BatchRacing
73,1450,0.0,0.0,multi_armed_bandit,BatchRacing
150,2990,0.0,0.0,multi_armed_bandit,BatchRacing
144,2870,0.0,0.0,multi_armed_bandit,BatchRacing
10,200,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
8,160,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
10,200,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
12,240,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
18,360,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
12,240,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
22,440,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
36,720,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
23,460,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
30,600,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
27,540,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
25,500,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
53,1060,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
52,1040,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
64,1280,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
86,1720,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
2500,50000,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
2500,50000,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
2500,50000,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
2500,50000,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
176,178,0.0,0.0,multi_armed_bandit,Heuristic lilUCB
453,455,0.0,0.0,multi_armed_bandit,Heuristic lilUCB
341,343,0.0,0.0,multi_armed_bandit,Heuristic lilUCB
490,492,0.0,0.0,multi_armed_bandit,Heuristic lilUCB
645,647,0.0,0.0,multi_armed_bandit,Heuristic lilUCB
410,412,0.0,0.0,multi_armed_bandit,Heuristic lilUCB
693,695,0.0,0.0,multi_armed_bandit,Heuristic lilUCB
773,775,0.0,0.0,multi_armed_bandit,Heuristic lilUCB
1050,1052,0.0,0.0,multi_armed_bandit,Heuristic lilUCB
965,967,0.0,0.0,multi_armed_bandit,Heuristic lilUCB
992,994,0.0,0.0,multi_armed_bandit,Heuristic lilUCB
848,850,0.0,0.0,multi_armed_bandit,Heuristic lilUCB
896,898,0.0,0.0,multi_armed_bandit,Heuristic lilUCB
1029,1031,0.0,0.0,multi_armed_bandit,Heuristic lilUCB
698,700,0.0,0.0,multi_armed_bandit,Heuristic lilUCB
1184,1186,0.0,0.0,multi_armed_bandit,Heuristic lilUCB
1509,1511,0.0,0.0,multi_armed_bandit,Heuristic lilUCB
1685,1687,0.0,0.0,multi_armed_bandit,Heuristic lilUCB
1114,1116,0.0,0.0,multi_armed_bandit,Heuristic lilUCB
1365,1367,0.0,0.0,multi_armed_bandit,Heuristic lilUCB
