rounds,total_actions,regret,other,bandit,learner
55,1744,0.0,0.0,multi_armed_bandit,BatchRacing
32,1008,0.0,0.0,multi_armed_bandit,BatchRacing
52,1648,0.0,0.0,multi_armed_bandit,BatchRacing
66,2096,0.0,0.0,multi_armed_bandit,BatchRacing
30,944,0.0,0.0,multi_armed_bandit,BatchRacing
40,1264,0.0,0.0,multi_armed_bandit,BatchRacing
54,1712,0.0,0.0,multi_armed_bandit,BatchRacing
73,2320,0.0,0.0,multi_armed_bandit,BatchRacing
56,1776,0.0,0.0,multi_armed_bandit,BatchRacing
71,2256,0.0,0.0,multi_armed_bandit,BatchRacing
81,2576,0.0,0.0,multi_armed_bandit,BatchRacing
55,1744,0.0,0.0,multi_armed_bandit,BatchRacing
43,1360,0.0,0.0,multi_armed_bandit,BatchRacing
63,2000,0.0,0.0,multi_armed_bandit,BatchRacing
50,1584,0.0,0.0,multi_armed_bandit,BatchRacing
60,1904,0.0,0.0,multi_armed_bandit,BatchRacing
70,2224,0.0,0.0,multi_armed_bandit,BatchRacing
59,1872,0.0,0.0,multi_armed_bandit,BatchRacing
65,2064,0.0,0.0,multi_armed_bandit,BatchRacing
63,2000,0.0,0.0,multi_armed_bandit,BatchRacing
51,1616,0.0,0.0,multi_armed_bandit,BatchRacing
82,2608,0.0,0.0,multi_armed_bandit,BatchRacing
60,1904,0.0,0.0,multi_armed_bandit,BatchRacing
88,2800,0.0,0.0,multi_armed_bandit,BatchRacing
63,2000,0.0,0.0,multi_armed_bandit,BatchRacing
76,2416,0.0,0.0,multi_armed_bandit,BatchRacing
68,2160,0.0,0.0,multi_armed_bandit,BatchRacing
81,2576,0.0,0.0,multi_armed_bandit,BatchRacing
81,2576,0.0,0.0,multi_armed_bandit,BatchRacing
75,2384,0.0,0.0,multi_armed_bandit,BatchRacing
80,2544,0.0,0.0,multi_armed_bandit,BatchRacing
79,2512,0.0,0.0,multi_armed_bandit,BatchRacing
64,2032,0.0,0.0,multi_armed_bandit,BatchRacing
61,1936,0.0,0.0,multi_armed_bandit,BatchRacing
76,2416,0.0,0.0,multi_armed_bandit,BatchRacing
63,2000,0.0,0.0,multi_armed_bandit,BatchRacing
30,944,0.0,0.0,multi_armed_bandit,BatchRacing
60,1904,0.0,0.0,multi_armed_bandit,BatchRacing
75,2384,0.0,0.0,multi_armed_bandit,BatchRacing
61,1936,0.0,0.0,multi_armed_bandit,BatchRacing
66,2096,0.0,0.0,multi_armed_bandit,BatchRacing
67,2128,0.0,0.0,multi_armed_bandit,BatchRacing
72,2288,0.0,0.0,multi_armed_bandit,BatchRacing
53,1680,0.0,0.0,multi_armed_bandit,BatchRacing
76,2416,0.0,0.0,multi_armed_bandit,BatchRacing
76,2416,0.0,0.0,multi_armed_bandit,BatchRacing
52,1648,0.0,0.0,multi_armed_bandit,BatchRacing
71,2256,0.0,0.0,multi_armed_bandit,BatchRacing
90,2864,0.0,0.0,multi_armed_bandit,BatchRacing
67,2128,0.0,0.0,multi_armed_bandit,BatchRacing
48,1520,0.0,0.0,multi_armed_bandit,BatchRacing
75,2384,0.0,0.0,multi_armed_bandit,BatchRacing
45,1424,0.0,0.0,multi_armed_bandit,BatchRacing
60,1904,0.0,0.0,multi_armed_bandit,BatchRacing
62,1968,0.0,0.0,multi_armed_bandit,BatchRacing
87,2768,0.0,0.0,multi_armed_bandit,BatchRacing
120,3824,0.0,0.0,multi_armed_bandit,BatchRacing
84,2672,0.0,0.0,multi_armed_bandit,BatchRacing
69,2192,0.0,0.0,multi_armed_bandit,BatchRacing
60,1904,0.0,0.0,multi_armed_bandit,BatchRacing
112,3568,0.0,0.0,multi_armed_bandit,BatchRacing
64,2032,0.0,0.0,multi_armed_bandit,BatchRacing
76,2416,0.0,0.0,multi_armed_bandit,BatchRacing
53,1680,0.0,0.0,multi_armed_bandit,BatchRacing
50,1584,0.0,0.0,multi_armed_bandit,BatchRacing
101,3216,0.0,0.0,multi_armed_bandit,BatchRacing
48,1520,0.0,0.0,multi_armed_bandit,BatchRacing
44,1392,0.0,0.0,multi_armed_bandit,BatchRacing
62,1968,0.0,0.0,multi_armed_bandit,BatchRacing
87,2768,0.0,0.0,multi_armed_bandit,BatchRacing
102,3248,0.0,0.0,multi_armed_bandit,BatchRacing
44,1392,0.0,0.0,multi_armed_bandit,BatchRacing
72,2288,0.0,0.0,multi_armed_bandit,BatchRacing
59,1872,0.0,0.0,multi_armed_bandit,BatchRacing
59,1872,0.0,0.0,multi_armed_bandit,BatchRacing
69,2192,0.0,0.0,multi_armed_bandit,BatchRacing
66,2096,0.0,0.0,multi_armed_bandit,BatchRacing
67,2128,0.0,0.0,multi_armed_bandit,BatchRacing
57,1808,0.0,0.0,multi_armed_bandit,BatchRacing
39,1232,0.0,0.0,multi_armed_bandit,BatchRacing
79,2512,0.0,0.0,multi_armed_bandit,BatchRacing
57,1808,0.0,0.0,multi_armed_bandit,BatchRacing
79,2512,0.0,0.0,multi_armed_bandit,BatchRacing
94,2992,0.0,0.0,multi_armed_bandit,BatchRacing
66,2096,0.0,0.0,multi_armed_bandit,BatchRacing
57,1808,0.0,0.0,multi_armed_bandit,BatchRacing
74,2352,0.0,0.0,multi_armed_bandit,BatchRacing
72,2288,0.0,0.0,multi_armed_bandit,BatchRacing
54,1712,0.0,0.0,multi_armed_bandit,BatchRacing
75,2384,0.0,0.0,multi_armed_bandit,BatchRacing
76,2416,0.0,0.0,multi_armed_bandit,BatchRacing
66,2096,0.0,0.0,multi_armed_bandit,BatchRacing
74,2352,0.0,0.0,multi_armed_bandit,BatchRacing
62,1968,0.0,0.0,multi_armed_bandit,BatchRacing
81,2576,0.0,0.0,multi_armed_bandit,BatchRacing
88,2800,0.0,0.0,multi_armed_bandit,BatchRacing
90,2864,0.0,0.0,multi_armed_bandit,BatchRacing
115,3664,0.0,0.0,multi_armed_bandit,BatchRacing
116,3696,0.0,0.0,multi_armed_bandit,BatchRacing
105,3344,0.0,0.0,multi_armed_bandit,BatchRacing
11,352,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
14,448,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
9,288,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
8,256,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
15,480,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
13,416,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
6,192,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
12,384,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
7,224,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
36,1152,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
8,256,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
7,224,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
11,352,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
9,288,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
3,96,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
10,320,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
7,224,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
10,320,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
5,160,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
18,576,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
7,224,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
13,416,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
10,320,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
4,128,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
13,416,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
11,352,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
10,320,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
12,384,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
30,960,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
30,960,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
9,288,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
27,864,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
7,224,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
9,288,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
11,352,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
8,256,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
11,352,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
10,320,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
17,544,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
13,416,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
13,416,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
37,1184,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
13,416,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
4,128,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
16,512,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
5,160,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
9,288,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
12,384,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
23,736,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
19,608,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
15,480,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
13,416,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
25,800,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
17,544,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
11,352,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
15,480,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
12,384,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
19,608,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
12,384,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
14,448,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
12,384,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
18,576,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
41,1312,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
19,608,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
14,448,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
32,1024,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
22,704,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
24,768,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
8,256,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
30,960,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
24,768,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
25,800,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
17,544,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
42,1344,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
18,576,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
23,736,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
38,1216,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
24,768,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
18,576,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
21,672,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
29,928,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
16,512,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
25,800,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
25,800,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
