rounds,total_actions,regret,other,bandit,learner
39,770,0.0,0.0,multi_armed_bandit,BatchRacing
59,1170,0.0,0.0,multi_armed_bandit,BatchRacing
62,1230,0.0,0.0,multi_armed_bandit,BatchRacing
59,1170,0.0,0.0,multi_armed_bandit,BatchRacing
75,1490,0.0,0.0,multi_armed_bandit,BatchRacing
79,1570,0.0,0.0,multi_armed_bandit,BatchRacing
88,1750,0.0,0.0,multi_armed_bandit,BatchRacing
92,1830,0.0,0.0,multi_armed_bandit,BatchRacing
106,2110,0.0,0.0,multi_armed_bandit,BatchRacing
113,2250,0.0,0.0,multi_armed_bandit,BatchRacing
116,2310,0.0,0.0,multi_armed_bandit,BatchRacing
71,1410,0.0,0.0,multi_armed_bandit,BatchRacing
116,2310,0.0,0.0,multi_armed_bandit,BatchRacing
122,2430,0.0,0.0,multi_armed_bandit,BatchRacing
97,1930,0.0,0.0,multi_armed_bandit,BatchRacing
115,2290,0.0,0.0,multi_armed_bandit,BatchRacing
122,2430,0.0,0.0,multi_armed_bandit,BatchRacing
125,2490,0.0,0.0,multi_armed_bandit,BatchRacing
145,2890,0.0,0.0,multi_armed_bandit,BatchRacing
220,4390,0.0,0.0,multi_armed_bandit,BatchRacing
10,200,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
7,140,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
16,320,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
17,340,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
13,260,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
20,400,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
18,360,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
16,320,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
19,380,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
22,440,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
19,380,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
25,500,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
25,500,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
40,800,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
37,740,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
57,1140,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
40,800,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
44,880,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
2500,50000,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
2500,50000,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
224,226,0.0,0.0,multi_armed_bandit,Heuristic lilUCB
330,332,0.0,0.0,multi_armed_bandit,Heuristic lilUCB
416,418,0.0,0.0,multi_armed_bandit,Heuristic lilUCB
432,434,0.0,0.0,multi_armed_bandit,Heuristic lilUCB
480,482,0.0,0.0,multi_armed_bandit,Heuristic lilUCB
709,711,0.0,0.0,multi_armed_bandit,Heuristic lilUCB
560,562,0.0,0.0,multi_armed_bandit,Heuristic lilUCB
773,775,0.0,0.0,multi_armed_bandit,Heuristic lilUCB
912,914,0.0,0.0,multi_armed_bandit,Heuristic lilUCB
986,988,0.0,0.0,multi_armed_bandit,Heuristic lilUCB
560,562,0.0,0.0,multi_armed_bandit,Heuristic lilUCB
1050,1052,0.0,0.0,multi_armed_bandit,Heuristic lilUCB
714,716,0.0,0.0,multi_armed_bandit,Heuristic lilUCB
1189,1191,0.0,0.0,multi_armed_bandit,Heuristic lilUCB
842,844,0.0,0.0,multi_armed_bandit,Heuristic lilUCB
1034,1036,0.0,0.0,multi_armed_bandit,Heuristic lilUCB
912,914,0.0,0.0,multi_armed_bandit,Heuristic lilUCB
906,908,0.0,0.0,multi_armed_bandit,Heuristic lilUCB
1066,1068,0.0,0.0,multi_armed_bandit,Heuristic lilUCB
1482,1484,0.0,0.0,multi_armed_bandit,Heuristic lilUCB
