rounds,total_actions,regret,other,bandit,learner
143,4560,0.0,0.0,multi_armed_bandit,BatchRacing
206,6576,0.0,0.0,multi_armed_bandit,BatchRacing
91,2896,0.0,0.0,multi_armed_bandit,BatchRacing
106,3376,0.0,0.0,multi_armed_bandit,BatchRacing
116,3696,0.0,0.0,multi_armed_bandit,BatchRacing
102,3248,0.0,0.0,multi_armed_bandit,BatchRacing
81,2576,0.0,0.0,multi_armed_bandit,BatchRacing
114,3632,0.0,0.0,multi_armed_bandit,BatchRacing
104,3312,0.0,0.0,multi_armed_bandit,BatchRacing
97,3088,0.0,0.0,multi_armed_bandit,BatchRacing
88,2800,0.0,0.0,multi_armed_bandit,BatchRacing
111,3536,0.0,0.0,multi_armed_bandit,BatchRacing
115,3664,0.0,0.0,multi_armed_bandit,BatchRacing
193,6160,0.0,0.0,multi_armed_bandit,BatchRacing
124,3952,0.0,0.0,multi_armed_bandit,BatchRacing
104,3312,0.0,0.0,multi_armed_bandit,BatchRacing
97,3088,0.0,0.0,multi_armed_bandit,BatchRacing
151,4816,0.0,0.0,multi_armed_bandit,BatchRacing
112,3568,0.0,0.0,multi_armed_bandit,BatchRacing
77,2448,0.0,0.0,multi_armed_bandit,BatchRacing
165,5264,0.0,0.0,multi_armed_bandit,BatchRacing
118,3760,0.0,0.0,multi_armed_bandit,BatchRacing
240,7664,0.0,0.0,multi_armed_bandit,BatchRacing
135,4304,0.0,0.0,multi_armed_bandit,BatchRacing
112,3568,0.0,0.0,multi_armed_bandit,BatchRacing
159,5072,0.0,0.0,multi_armed_bandit,BatchRacing
172,5488,0.0,0.0,multi_armed_bandit,BatchRacing
125,3984,0.0,0.0,multi_armed_bandit,BatchRacing
139,4432,0.0,0.0,multi_armed_bandit,BatchRacing
122,3888,0.0,0.0,multi_armed_bandit,BatchRacing
171,5456,0.0,0.0,multi_armed_bandit,BatchRacing
134,4272,0.0,0.0,multi_armed_bandit,BatchRacing
152,4848,0.0,0.0,multi_armed_bandit,BatchRacing
162,5168,0.0,0.0,multi_armed_bandit,BatchRacing
176,5616,0.0,0.0,multi_armed_bandit,BatchRacing
138,4400,0.0,0.0,multi_armed_bandit,BatchRacing
132,4208,0.0,0.0,multi_armed_bandit,BatchRacing
155,4944,0.0,0.0,multi_armed_bandit,BatchRacing
137,4368,0.0,0.0,multi_armed_bandit,BatchRacing
141,4496,0.0,0.0,multi_armed_bandit,BatchRacing
129,4112,0.0,0.0,multi_armed_bandit,BatchRacing
153,4880,0.0,0.0,multi_armed_bandit,BatchRacing
191,6096,0.0,0.0,multi_armed_bandit,BatchRacing
136,4336,0.0,0.0,multi_armed_bandit,BatchRacing
158,5040,0.0,0.0,multi_armed_bandit,BatchRacing
171,5456,0.0,0.0,multi_armed_bandit,BatchRacing
118,3760,0.0,0.0,multi_armed_bandit,BatchRacing
172,5488,0.0,0.0,multi_armed_bandit,BatchRacing
150,4784,0.0,0.0,multi_armed_bandit,BatchRacing
141,4496,0.0,0.0,multi_armed_bandit,BatchRacing
98,3120,0.0,0.0,multi_armed_bandit,BatchRacing
89,2832,0.0,0.0,multi_armed_bandit,BatchRacing
166,5296,0.0,0.0,multi_armed_bandit,BatchRacing
173,5520,0.0,0.0,multi_armed_bandit,BatchRacing
175,5584,0.0,0.0,multi_armed_bandit,BatchRacing
162,5168,0.0,0.0,multi_armed_bandit,BatchRacing
161,5136,0.0,0.0,multi_armed_bandit,BatchRacing
151,4816,0.0,0.0,multi_armed_bandit,BatchRacing
174,5552,0.0,0.0,multi_armed_bandit,BatchRacing
132,4208,0.0,0.0,multi_armed_bandit,BatchRacing
99,3152,0.0,0.0,multi_armed_bandit,BatchRacing
179,5712,0.0,0.0,multi_armed_bandit,BatchRacing
125,3984,0.0,0.0,multi_armed_bandit,BatchRacing
134,4272,0.0,0.0,multi_armed_bandit,BatchRacing
118,3760,0.0,0.0,multi_armed_bandit,BatchRacing
195,6224,0.0,0.0,multi_armed_bandit,BatchRacing
197,6288,0.0,0.0,multi_armed_bandit,BatchRacing
183,5840,0.0,0.0,multi_armed_bandit,BatchRacing
188,6000,0.0,0.0,multi_armed_bandit,BatchRacing
213,6800,0.0,0.0,multi_armed_bandit,BatchRacing
164,5232,0.0,0.0,multi_armed_bandit,BatchRacing
220,7024,0.0,0.0,multi_armed_bandit,BatchRacing
132,4208,0.0,0.0,multi_armed_bandit,BatchRacing
90,2864,0.0,0.0,multi_armed_bandit,BatchRacing
170,5424,0.0,0.0,multi_armed_bandit,BatchRacing
136,4336,0.0,0.0,multi_armed_bandit,BatchRacing
180,5744,0.0,0.0,multi_armed_bandit,BatchRacing
136,4336,0.0,0.0,multi_armed_bandit,BatchRacing
170,5424,0.0,0.0,multi_armed_bandit,BatchRacing
221,7056,0.0,0.0,multi_armed_bandit,BatchRacing
140,4464,0.0,0.0,multi_armed_bandit,BatchRacing
125,3984,0.0,0.0,multi_armed_bandit,BatchRacing
155,4944,0.0,0.0,multi_armed_bandit,BatchRacing
233,7440,0.0,0.0,multi_armed_bandit,BatchRacing
151,4816,0.0,0.0,multi_armed_bandit,BatchRacing
132,4208,0.0,0.0,multi_armed_bandit,BatchRacing
134,4272,0.0,0.0,multi_armed_bandit,BatchRacing
176,5616,0.0,0.0,multi_armed_bandit,BatchRacing
122,3888,0.0,0.0,multi_armed_bandit,BatchRacing
270,8624,0.0,0.0,multi_armed_bandit,BatchRacing
118,3760,0.0,0.0,multi_armed_bandit,BatchRacing
168,5360,0.0,0.0,multi_armed_bandit,BatchRacing
146,4656,0.0,0.0,multi_armed_bandit,BatchRacing
183,5840,0.0,0.0,multi_armed_bandit,BatchRacing
186,5936,0.0,0.0,multi_armed_bandit,BatchRacing
251,8016,0.0,0.0,multi_armed_bandit,BatchRacing
