rounds,total_actions,regret,other,bandit,learner
94,4180,0.0,0.0,multi_armed_bandit,BatchRacing
108,4640,0.0,0.0,multi_armed_bandit,BatchRacing
109,5140,0.0,0.0,multi_armed_bandit,BatchRacing
108,5000,0.0,0.0,multi_armed_bandit,BatchRacing
131,5660,0.0,0.0,multi_armed_bandit,BatchRacing
14,1400,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
14,1400,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
18,1800,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
20,2000,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
500,50000,0.0,0.0,multi_armed_bandit,Batch Track and stop C-Tracking
264,267,0.0,0.0,multi_armed_bandit,Heuristic lilUCB
579,582,0.0,0.0,multi_armed_bandit,Heuristic lilUCB
880,883,0.0,0.0,multi_armed_bandit,Heuristic lilUCB
1375,1378,0.0,0.0,multi_armed_bandit,Heuristic lilUCB
1825,1828,0.0,0.0,multi_armed_bandit,Heuristic lilUCB
